IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Ethiopia,,ETB,04/02/1992,2.04,Trading Economics
Official,Ethiopia,,ETB,05/02/1992,2.02,Trading Economics
Official,Ethiopia,,ETB,06/02/1992,2.02,Trading Economics
Official,Ethiopia,,ETB,07/02/1992,2.02,Trading Economics
Official,Ethiopia,,ETB,10/02/1992,2.02,Trading Economics
Official,Ethiopia,,ETB,11/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,12/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,17/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,18/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,19/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,24/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,25/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,26/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,27/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,28/02/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,02/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,03/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,04/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,05/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,06/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,09/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,10/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,11/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,12/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,16/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,17/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,18/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,19/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,23/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,24/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,25/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,26/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,27/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,30/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,31/03/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,01/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,02/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,03/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,06/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,07/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,08/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,09/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,10/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,15/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,16/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,17/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,22/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,23/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,24/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,27/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,28/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,29/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,30/04/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,01/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,04/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,05/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,06/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,07/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,08/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,11/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,12/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,15/05/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,18/05/1992,2.05,Trading Economics
Official,Ethiopia,,ETB,19/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,20/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,21/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,22/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,25/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,26/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,27/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,28/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,29/05/1992,2,Trading Economics
Official,Ethiopia,,ETB,01/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,02/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,03/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,04/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,05/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,08/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,09/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,10/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,11/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,12/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,15/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,16/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,17/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,18/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,19/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,22/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,23/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,24/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,25/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,26/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,29/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,30/06/1992,2,Trading Economics
Official,Ethiopia,,ETB,01/07/1992,2,Trading Economics
Official,Ethiopia,,ETB,02/07/1992,2,Trading Economics
Official,Ethiopia,,ETB,03/07/1992,2,Trading Economics
Official,Ethiopia,,ETB,06/07/1992,2,Trading Economics
Official,Ethiopia,,ETB,07/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,08/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,09/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,10/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,15/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,16/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,17/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/07/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,22/07/1992,2.03,Trading Economics
